Hostname;RequestNumber;rootDispersion;DispOver8Req;Delay;Offset
0.de.pool.ntp.org;0;0.000021;0.000000;0.010846;1.018738
0.de.pool.ntp.org;1;0.000019;0.019226;0.001233;1.021002
0.de.pool.ntp.org;2;0.000043;0.035543;0.019005;1.009965
0.de.pool.ntp.org;3;0.000022;0.035543;0.010596;1.020019
0.de.pool.ntp.org;4;0.000036;0.107559;0.055013;0.970952
0.de.pool.ntp.org;5;0.000018;0.114832;0.058649;1.041521
0.de.pool.ntp.org;6;0.000042;0.405881;0.204174;0.938568
0.de.pool.ntp.org;7;0.000028;0.405881;0.084197;0.947480
0.de.pool.ntp.org;8;0.000006;0.298322;0.191386;0.864365
0.de.pool.ntp.org;9;0.000030;0.387156;0.054046;0.973710
0.de.pool.ntp.org;10;0.000063;0.346929;0.030709;0.995878
0.de.pool.ntp.org;11;0.000045;0.347993;0.030178;0.999471
0.de.pool.ntp.org;12;0.000003;0.373116;0.017616;1.012350
0.de.pool.ntp.org;13;0.000023;0.133162;0.036905;0.993807
0.de.pool.ntp.org;14;0.000027;0.149387;0.009503;1.019252
0.de.pool.ntp.org;15;0.000009;0.149804;0.009295;1.020445
0.de.pool.ntp.org;16;0.000009;0.055220;0.010089;1.015870
0.de.pool.ntp.org;17;0.000056;0.149804;0.009581;1.020303
0.de.pool.ntp.org;18;0.000065;0.058166;0.007821;1.017695
0.de.pool.ntp.org;19;0.000004;0.086250;0.052419;0.976624
0.de.pool.ntp.org;20;0.000038;0.086250;0.011229;1.015151
0.de.pool.ntp.org;21;0.000020;0.086250;0.009920;1.020168
0.de.pool.ntp.org;22;0.000029;0.008390;0.007034;1.018471
0.de.pool.ntp.org;23;0.000042;0.008390;0.010591;1.020287
0.de.pool.ntp.org;24;0.000057;0.013182;0.004638;1.014053
0.de.pool.ntp.org;25;0.000039;0.019149;0.016608;1.020369
0.de.pool.ntp.org;26;0.000015;0.079702;0.046885;0.984789
0.de.pool.ntp.org;27;0.000022;0.007114;0.009688;1.013049
0.de.pool.ntp.org;28;0.000004;0.061845;0.037957;1.014434
0.de.pool.ntp.org;29;0.000057;0.056538;0.029080;1.001288
0.de.pool.ntp.org;30;0.000045;0.054731;0.014137;1.023694
0.de.pool.ntp.org;31;0.000053;0.073259;0.001327;1.017940
0.de.pool.ntp.org;32;0.000034;0.073259;0.011456;1.021123
0.de.pool.ntp.org;33;0.000063;0.073259;0.019984;1.011409
0.de.pool.ntp.org;34;0.000003;0.073259;0.009618;1.019342
0.de.pool.ntp.org;35;0.000065;0.055506;0.010927;1.021450
0.de.pool.ntp.org;36;0.000044;0.055506;0.009392;1.021309
0.de.pool.ntp.org;37;0.000012;0.055506;0.010230;1.021427
0.de.pool.ntp.org;38;0.000014;0.019737;0.011195;1.021439
0.de.pool.ntp.org;39;0.000002;0.019737;0.009309;1.021601
0.de.pool.ntp.org;40;0.000050;0.003772;0.010115;1.021726
0.de.pool.ntp.org;41;0.000064;0.019737;0.001373;1.018795
0.de.pool.ntp.org;42;0.000055;0.019644;0.010223;1.022244
0.de.pool.ntp.org;43;0.000043;0.003772;0.009500;1.021802
0.de.pool.ntp.org;44;0.000058;0.003772;0.009368;1.021798
0.de.pool.ntp.org;45;0.000005;0.007904;0.006278;1.023040
0.de.pool.ntp.org;46;0.000001;0.006245;0.009401;1.022070
0.de.pool.ntp.org;47;0.000053;0.007714;0.005544;1.023540
0.de.pool.ntp.org;48;0.000001;0.009379;0.010233;1.022426
0.de.pool.ntp.org;49;0.000039;0.008187;0.009637;1.022281
